"",id,name,alcoholic,ingredients,glassType,instructions,drinkThumbnail,ingredientMeasures,text,category
0,0,A1,Alcoholic,"['Gin', 'Grand Marnier', 'Lemon Juice', 'Grenadine']",Cocktail glass,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",https://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg,"['1 3/4 shot ', '1 Shot ', '1/4 Shot', '1/8 Shot']","question Generate a cocktail with Gin Grand Marnier Lemon Juice Grenadine answer Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",Cocktail
1,1,ABC,Alcoholic,"['Amaretto', 'Baileys irish cream', 'Cognac']",Shot glass,Layered in a shot glass.,https://www.thecocktaildb.com/images/media/drink/tqpvqp1472668328.jpg,"['1/3 ', '1/3 ', '1/3 ']",question Generate a cocktail with Amaretto Baileys irish cream Cognac answer Layered in a shot glass.,Shot
2,2,Ace,Alcoholic,"['Gin', 'Grenadine', 'Heavy cream', 'Milk', 'Egg White']",Martini Glass,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,https://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg,"['2 shots ', '1/2 shot ', '1/2 shot ', '1/2 shot', '1/2 Fresh']",question Generate a cocktail with Gin Grenadine Heavy cream Milk Egg White answer Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,Cocktail
3,3,ACID,Alcoholic,"['151 proof rum', 'Wild Turkey']",Shot glass,Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,https://www.thecocktaildb.com/images/media/drink/xuxpxt1479209317.jpg,"['1 oz Bacardi ', '1 oz ']",question Generate a cocktail with 151 proof rum Wild Turkey answer Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,Shot
4,4,Adam,Alcoholic,"['Dark rum', 'Lemon juice', 'Grenadine']",Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/v0at4i1582478473.jpg,"['2 oz ', '1 oz ', '1 tsp ']","question Generate a cocktail with Dark rum Lemon juice Grenadine answer In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Ordinary Drink
5,5,AT&T,Alcoholic,"['Absolut Vodka', 'Gin', 'Tonic water']",Highball Glass,"Pour Vodka and Gin over ice, add Tonic and Stir",https://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg,"['1 oz ', '1 oz ', '4 oz ']","question Generate a cocktail with Absolut Vodka Gin Tonic water answer Pour Vodka and Gin over ice, add Tonic and Stir",Ordinary Drink
6,6,A. J.,Alcoholic,"['Applejack', 'Grapefruit juice']",Cocktail glass,"Shake ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/l74qo91582480316.jpg,"['1 1/2 oz ', '1 oz ']","question Generate a cocktail with Applejack Grapefruit juice answer Shake ingredients with ice, strain into a cocktail glass, and serve.",Ordinary Drink
7,7,Avalon,Alcoholic,"['Vodka', 'Pisang Ambon', 'Apple juice', 'Lemon juice', 'Lemonade']",Highball glass,"Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.",https://www.thecocktaildb.com/images/media/drink/3k9qic1493068931.jpg,"['3 parts', '1 part ', '6 parts ', '1 1/2 part ', None]","question Generate a cocktail with Vodka Pisang Ambon Apple juice Lemon juice Lemonade answer Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.",Ordinary Drink
8,8,Apello,Non alcoholic,"['Orange juice', 'Grapefruit juice', 'Apple juice', 'Maraschino cherry']",Collins Glass,Stirr. Grnish with maraschino cherry.,https://www.thecocktaildb.com/images/media/drink/uptxtv1468876415.jpg,"['4 cl ', '3 cl ', '1 cl ', '1 ']",question Generate a cocktail with Orange juice Grapefruit juice Apple juice Maraschino cherry answer Stirr. Grnish with maraschino cherry.,Other / Unknown
9,9,Affair,Alcoholic,"['Strawberry schnapps', 'Orange juice', 'Cranberry juice', 'Club soda']",Highball glass,"Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.",https://www.thecocktaildb.com/images/media/drink/h5za6y1582477994.jpg,"['2 oz ', '2 oz ', '2 oz ', None]","question Generate a cocktail with Strawberry schnapps Orange juice Cranberry juice Club soda answer Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.",Ordinary Drink
